"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Central African Republic","CAF","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1967724137.62476","1926754976.76509","1916029257.10364","2069740816.50436","1223874692.82464","1214194226.02056","1236804945.78527","1332647506.08235","1346266675.69898","1501168398.01231","1603326858.7904","",
"Canada","CAN","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","263908627859.143","277442140293.265","289485519209.295","305354134472.818","322176957931.822","340856846422.613","357385564646.335","375119647884.862","393305626124.757","407530052814.681","427604840992.931","453086498245.728","481219771559.966","506719168399.07","530145822648.583","551899344873.173","569123645674.24","582816815718.725","594127264951.611","606115557886.792","614126893046.305","605078486005.918","617644252129.861","638480679617.531","668059037075.832","687481657853.724","709322244790.779","736173592279.034","759338587408.258","773859919544.012","772990441544.596","783239778480.945","793002673965.21","806564663711.977","817199837761.831","830340510333.412","858693195115.872","880376458692.244","910998656510.872","946548985731.613","971742839912.087","1006137988930.25","1034102268079.95","1062520543900.33","1096240650671.45","1138105373768.96","1182218369164.08","1220048248116.71","1229570257569.15","1269129521696.85","1294673034121.2","1314955330027.83","1337125501817.32","1364283325486.26","1392472619014.66","1420565978481.98","1466466713071.47","1501311656132.94","1527895741590.42","",
"Central Europe and the Baltics","CEB","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","621890323764.808","649544250155.602","662102772878.362","681745396304.204","702143054189.928","722672034971.217","748338933027.233","783979997679.347","816667497551.313","855841510584.157","891885848297.097","936383583155.899","988571946289.459","1031258999895.23","1017300537646.81","1022130197644.36","1031577996939.56","1033823849573.02","1039185307788.17","1065574140619.98","1100243589010.29","1142355146626.31","1194437631848.07","1245862889103.11","1297202134208.46","",
"Switzerland","CHE","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","196198494830.106","205896950850.881","216196091649.162","222039806251.152","221767899078.072","216628637335.563","219581407425.276","225213312232.888","230131045260","232974459425.164","238421332731.329","241166800989.125","241909293748.432","245439101584.495","249395127165.717","255841587690.71","263169315333.383","270765141277.236","277569165143.994","287371309183.299","293396255202.287","298768278951.966","300396110348.006","298849192826.158","302956855641.53","305421400801.323","308949916882.06","313275436234.615","319497209443.699","325953510937.644","331640714199.223","337406374754.193","339695687397.002","342064307763.201","347485774595.203","353123373671.187","357410620744.651","364923513653.305","370105607385.691","376034938124.643","382129754144.442","385623020829.298","394080844963.134","404203724136.258","409994560738.893","416696537887.726","422503097193.31","427631295534.768","431208127951.309","435802869422.413","",
"Channel Islands","CHI","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","23499168949.7266","24663113483.1354","25707992303.1163","26654611706.8298","26624543251.5784","26898917905.7462","29908716582.726","30857349499.0678","32059550772.4168","33814931081.8837","33896948162.9484","38324125496.1691","41177004422.3064","38921870278.4628","33348198854.6133","29607629327.6878","29663068042.0572","33752646424.5775","36250610191.4099","38763205483.3424","40460999331.6361","44881196487.7447","39014626093.546","37037356692.426","37188907076.2592","37026215255.8819","38844228800.0582","41038147018.9745","43713070964.4197","47744603090.7406","48701724292.2289","52671749861.5656","59373970626.2272","63559050830.1278","68285406200.2254","74554999798.5","81150173538.3732","86939941812.0772","90642868554.6592","90278946439.8063","93695092733.9457","95682104229.2715","97755480456.0557","101481549854.187","109452428948.363","117516168363.856","126055705310.534","134975085590.419","139652470187.032","140701011497.534","153923656611.711","164976021490.872","174303689682.159","181778411961.22","186968487987.448","191785404623.594","198431725483.092","205615238577.827","213498777045.74","215221739995.902","",
"China","CHN","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","716273507655.602","803020980592.145","863717279389.842","950443491645.663","1073938887277.47","1204778200158.26","1293178727715.1","1415254635930.45","1506241473679.48","1626016721300.82","1822879802328.88","2009103505158.54","2269556965202.95","2454764980456.93","2713445946032.87","2977436481197.29","3340600061045.89","3616827104525.63","3883272355656.61","4191512094696.45","4576102741272.41","4959219632030.99","5310914824086.67","5729306840483.38","6089781616279.03","",
"Cote d'Ivoire","CIV","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18173589331.1316","18885737786.1567","19741981667.9376","18711313358.2257","21229016072.4291","21322938607.456","23500673474.2066","26441014737.562","29283335143.8834","31716563177.4838","34426190850.0752","35996398023.9398","",
"Cameroon","CMR","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","3909050027.73184","3967844864.50364","4098839617.21751","4224220906.10854","4339798193.07223","4383379178.06013","4521110357.49835","3969946275.88364","4377413301.09123","4511986149.92991","4541483391.00633","4900341779.13928","4907809928.48929","4936616615.76287","5434721165.55818","6198402562.26776","5885407965.70361","6787589895.21381","7570625864.81209","8125848962.73503","7133947564.05141","8357237886.54941","9467170615.26055","9542021569.87704","9682620877.94582","10265894019.6229","12788880424.6563","13326865095.1702","11728588774.4916","10327753241.3004","10330702711.2567","10274275564.0518","9135417525.19214","10285970054.2326","10570248109.3619","10830519908.6969","11279874259.8467","12165463932.0096","12579551112.4408","13302788085.6592","14048992815.6241","14726658373.3814","15134373782.5267","16181524415.5231","16913771101.2572","17615112461.8833","18236880142.5721","19243870000.9093","20085960895.2068","20588209656.6244","21347341713.5161","22127880600.3141","23102288478.796","24502548410.5594","25756632608.3257","27097459278.6269","27995844136.4669","28919784406.5415","30245222271.5944","31478030624.8134","",
"Congo, Dem. Rep.","COD","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13049766739.1665","12017201900.5522","12271232007.3303","11701572624.4354","11158888828.4143","11444535473.4781","10749925214.7479","10835349317.9278","10560332184.1066","9781497781.74776","11877288233.6978","12682938475.7285","13705526552.0654","13969791339.4672","14999858346.0341","15347690980.4771","15374720570.5849","17197357666.5984","16400382784.8594","19405204656.1469","21615005270.5429","23202041735.6567","24609170060.2173","24102988925.9813","23820589408.794","24411057351.6994","25830809170.0973","",
